score,label
0.0013087668921798468,0
0.0011045292485505342,0
0.0012563797645270824,0
0.0015978090232238173,0
0.001551980385556817,0
0.0031834617257118225,0
0.0029203598387539387,0
0.0028417869471013546,0
0.0023853161837905645,0
0.0018826349405571818,0
0.0023034201003611088,0
0.002590891905128956,0
0.0027704029344022274,0
0.002772857202216983,0
0.00317246001213789,0
0.0021395317744463682,0
0.0030800020322203636,0
0.003271303605288267,0
0.0027309153228998184,0
0.001976332161575556,0
0.0016763678286224604,0
0.003025287762284279,0
0.002929150825366378,0
0.003433072939515114,0
0.003853447735309601,0
0.0028951182030141354,0
0.0024015111848711967,0
0.002987073501572013,0
0.002620913088321686,0
0.0024715405888855457,0
0.0024261237122118473,0
0.0030120748560875654,0
0.003038041992112994,0
0.00297402311116457,0
0.00272908853366971,0
0.0023712676484137774,0
0.0010894121369346976,1
0.0010003517381846905,1
0.0009674452594481409,1
0.0010867166565731168,1
0.0011685577919706702,1
0.001166097354143858,1
0.001052748877555132,1
0.0014724120264872909,1
0.0016508565749973059,1
0.0028339687269181013,1
