Senaryo,En İyi Model,Accuracy,Precision,Recall,F1-Score,ROC AUC
Baseline,Gradient Boosting,0.8983509056501757,0.7067510548523207,0.5856643356643356,0.6405353728489483,0.9265488269325814
SMOTE Only,Random Forest,0.8894295755609625,0.6283464566929133,0.6975524475524476,0.6611433305716653,0.915962315586556
Feature Selection Only,SVM (RBF kernel),0.8675317653419843,0.5515075376884422,0.7674825174825175,0.6418128654970761,0.8678895856302316
Full Pipeline,LightGBM,0.8805082454717491,0.5928571428571429,0.7255244755244755,0.6525157232704403,0.8820662468327963
