Model,Scenario,Accuracy,Precision,Recall,F1,AUC
Logistic Regression,Senaryo 1 (Temel),0.9180327868852459,0.8709677419354839,0.9642857142857143,0.9152542372881356,0.9675324675324676
Random Forest,Senaryo 1 (Temel),0.9016393442622951,0.8666666666666667,0.9285714285714286,0.896551724137931,0.961038961038961
SVM,Senaryo 1 (Temel),0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9588744588744589
XGBoost,Senaryo 1 (Temel),0.8852459016393442,0.8181818181818182,0.9642857142857143,0.8852459016393442,0.9123376623376623
Logistic Regression (SMOTE+FS),Senaryo 2 (Gelişmiş),0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9577922077922078
SVM (SMOTE+FS),Senaryo 2 (Gelişmiş),0.9016393442622951,0.84375,0.9642857142857143,0.9,0.9491341991341992
Random Forest (Optuna+SMOTE),Senaryo 2 (Gelişmiş),0.9180327868852459,0.896551724137931,0.9285714285714286,0.9122807017543859,0.9675324675324676
XGBoost (SMOTE+FS),Senaryo 2 (Gelişmiş),0.8360655737704918,0.8,0.8571428571428571,0.8275862068965517,0.9307359307359307
